route_number,route_name,stop_name,x,y
1,North Avenue,MLK and 3rd OB,-83.36854099,33.96312979
0,Multiple Routes,Multimodal Transportation Center,-83.37045605,33.95969978
0,Multiple Routes,Dept of Labor OB,-83.36703583,33.97118329
0,Multiple Routes,Athens Plaza OB,-83.3647227,33.97522036
1,North Avenue,Danielsville and Fowler,-83.35764558,33.98841911
1,North Avenue,Fowler Drive School,-83.36241947,33.98887924
1,North Avenue,Fowler and Freeman,-83.36400116,33.98909054
1,North Avenue,Freeman and Sunnyhills IB,-83.36387383,33.98217485
0,Multiple Routes,Dogwood Apartments OB,-83.36140578,33.97736517
0,Multiple Routes,Athens Tech OB,-83.33864003,33.98916042
0,Multiple Routes,DFCS OB,-83.36595709,33.97226998
0,Multiple Routes,North Ave and Ruth St IB,-83.3653069,33.97348678
0,Multiple Routes,North Ave and Strickland IB,-83.36823709,33.96997108
0,Multiple Routes,North Ave and MLK IB,-83.37075709,33.96734549
1,North Avenue,1st St at 4th St Strickland Corner OB,-83.36545353,33.96892676
1,North Avenue,1st St between Wateroak St and Odd St OB,-83.36400219,33.96712439
1,North Avenue,Freeman Dr at Ashmore Dr 1st IB,-83.36418,33.9873555
1,North Avenue,Freeman Dr at Ashmore Dr 2nd IB,-83.36411617,33.98566177
0,Multiple Routes,North Ave at CVS Pharmacy IB,-83.36479271,33.97548508
0,Multiple Routes,North Ave at Spring Ct IB,-83.36690502,33.97156633
0,Multiple Routes,North Ave at Stonecrest Apartments IB,-83.36923117,33.96862549
1,North Avenue,Strickland St at North Ave OB,-83.36795146,33.96984549
1,North Avenue,3rd St at 1st St Corner OB,-83.36322438,33.96570659
1,North Avenue,3rd St at Pearl St OB,-83.36731326,33.96375477
1,North Avenue,E Broad and Willow St OB,-83.36748225,33.95884956
1,North Avenue,Danielsville Rd and Collins Ind OB,-83.36199563,33.9812155
1,North Avenue,Danielsville Rd and Highland Greens OB,-83.35964709,33.98442219
0,Multiple Routes,325 Willow Street,-83.37130713,33.96347067
0,Multiple Routes,Old Hull Rd and Oak Hill OB,-83.35753144,33.97680121
0,Multiple Routes,Old Hull Rd and Athena OB,-83.34567146,33.98032888
0,Multiple Routes,Old Hull and Recycle Center OB,-83.34249073,33.98377329
0,Multiple Routes,Athens Tech and 2nd Stop OB,-83.33569927,33.99174219
1,North Avenue,Trail Creek Village,-83.33517551,33.99552486
